tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,4,0.8185654008438819,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,063_STEC,4,0.829535864978903,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,4,0.6854008438818565,LF82,Snippy / LF82 (NC_011993.1)
Snippy,063_STEC,4,0.6686919831223629,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,4,0.5625316455696202,C4,Snippy / C4 (CP010121.1)
Snippy,063_STEC,4,0.4977215189873418,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,063_STEC,4,0.6222784810126583,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,063_STEC,4,0.4838818565400844,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,4,0.6376371308016877,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,4,0.560337552742616,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,4,0.5362025316455696,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,4,0.5525738396624472,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,4,0.5343459915611815,S21,Snippy / S21 (CP010230.1)
Snippy,063_STEC,4,0.610632911392405,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,063_STEC,4,0.6268354430379747,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,063_STEC,4,0.579240506329114,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,4,0.6232911392405063,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,4,0.6622784810126582,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,063_STEC,4,0.7456540084388186,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,4,0.5309704641350211,H7,Snippy / H7 (CP010171.1)
Snippy,063_STEC,4,0.5014345991561181,W3110,Snippy / W3110 (NC_007779.1)
Snippy,063_STEC,4,0.7091983122362869,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,4,0.5021097046413502,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,063_STEC,4,0.4924894514767933,C1,Snippy / C1 (CP010116.1)
Snippy,063_STEC,4,0.4832067510548523,S1,Snippy / S1 (CP010226.1)
Snippy,063_STEC,4,0.4886075949367089,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,CFT073,4,0.881515444015444,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,CFT073,4,0.8687258687258688,PRG,Pandora illumina with denovo / PRG
Snippy,CFT073,4,0.7712355212355212,LF82,Snippy / LF82 (NC_011993.1)
Snippy,CFT073,4,0.670246138996139,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,CFT073,4,0.5271476833976834,C4,Snippy / C4 (CP010121.1)
Snippy,CFT073,4,0.4090250965250965,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,CFT073,4,0.6800193050193051,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
