tool,sample,nb_of_samples,recalls_wrt_truth_probes,ref,tool_and_ref
Pandora illumina no denovo,063_STEC,9,0.8812969209008813,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,063_STEC,9,0.889021869219889,PRG,Pandora illumina with denovo / PRG
Snippy,063_STEC,9,0.9088238494179088,LF82,Snippy / LF82 (NC_011993.1)
Snippy,063_STEC,9,0.9306930693069309,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,063_STEC,9,0.8237406158198237,C4,Snippy / C4 (CP010121.1)
Snippy,063_STEC,9,0.7759764987487758,EcRV308Chr,Snippy / EcRV308Chr (NZ_LM995446.1)
Snippy,063_STEC,9,0.9290610379719292,NCTC_13441,Snippy / NCTC_13441 (NZ_LT632320.1)
Snippy,063_STEC,9,0.7922968120987923,MRSN346595,Snippy / MRSN346595 (NZ_CP018109.1)
Snippy,063_STEC,9,0.8747687955608747,CE10,Snippy / CE10 (NC_017646.1)
Snippy,063_STEC,9,0.8484386900228484,MRSN346647,Snippy / MRSN346647 (CP018206.1)
Snippy,063_STEC,9,0.8351648351648352,VR50,Snippy / VR50 (NZ_CP011134.1)
Snippy,063_STEC,9,0.9103470786639104,ST648,Snippy / ST648 (NZ_CP008697.1)
Snippy,063_STEC,9,0.8180829071918181,S21,Snippy / S21 (CP010230.1)
Snippy,063_STEC,9,0.8832553585028833,SMS-3-5,Snippy / SMS-3-5 (NC_010498.1)
Snippy,063_STEC,9,0.8606245239908606,09-00049,Snippy / 09-00049 (NZ_CP015228.1)
Snippy,063_STEC,9,0.8748775976498748,ECONIH1,Snippy / ECONIH1 (NZ_CP009859.1)
Snippy,063_STEC,9,0.9292786421499292,EC958,Snippy / EC958 (NZ_HG941718.1)
Snippy,063_STEC,9,0.8204765531498205,UMN026,Snippy / UMN026 (CU928163.2)
Snippy,063_STEC,9,0.9374387988249374,S88,Snippy / S88 (NC_011742.1)
Snippy,063_STEC,9,0.7837014470677837,H7,Snippy / H7 (CP010171.1)
Snippy,063_STEC,9,0.7806549885757806,W3110,Snippy / W3110 (NC_007779.1)
Snippy,063_STEC,9,0.9063214013709064,NGF1,Snippy / NGF1 (NZ_CP016007.1)
Snippy,063_STEC,9,0.7770645196387771,Y5,Snippy / Y5 (NZ_CP013483.1)
Snippy,063_STEC,9,0.8197149385268198,C1,Snippy / C1 (CP010116.1)
Snippy,063_STEC,9,0.7740180611467741,S1,Snippy / S1 (CP010226.1)
Snippy,063_STEC,9,0.7958872810357959,H6,Snippy / H6 (CP010170.1)
Pandora illumina no denovo,CFT073,9,0.8336177474402731,PRG,Pandora illumina no denovo / PRG
Pandora illumina with denovo,CFT073,9,0.8261518771331058,PRG,Pandora illumina with denovo / PRG
Snippy,CFT073,9,0.8007679180887372,LF82,Snippy / LF82 (NC_011993.1)
Snippy,CFT073,9,0.8366040955631401,JJ1886,Snippy / JJ1886 (NC_022648.1)
Snippy,CFT073,9,0.5253839590443686,C4,Snippy / C4 (CP010121.1)
